Query	Hit_type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
fig|287.5969.peg.659|CSC34_0610	specific	395092	43	388	2.06809e-63	211.978	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.7802.peg.4988|DY954_24790	specific	395092	43	387	2.36065e-61	206.585	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.969.peg.2415	specific	395092	43	386	2.00902e-60	204.274	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.887.peg.1746	specific	395092	43	386	2.00902e-60	204.274	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.848.peg.4280	specific	395092	43	386	2.00902e-60	204.274	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.7814.peg.1223|DY981_06005	specific	395092	43	386	3.08086e-60	203.503	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7691.peg.3601	specific	395092	36	295	4.73413e-61	197.34	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8017.peg.3570	specific	395092	36	295	4.73413e-61	197.34	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7690.peg.3828	specific	395092	36	300	1.33748e-60	196.185	pfam00144	Beta-lactamase	 - 	cl21491
fig|562.29006.peg.2523|CSC23_2526	specific	395092	30	304	3.94639e-89	269.758	pfam00144	Beta-lactamase	 - 	cl21491
fig|1045010.61.peg.745	specific	395092	35	325	1.11019e-57	189.251	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8017.peg.3821	specific	395092	36	300	3.05859e-60	196.185	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1008.peg.3529	specific	395092	54	345	2.14417e-42	150.346	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.2978.peg.2060	specific	395092	43	386	8.81172e-61	205.044	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1250.peg.4141	specific	395092	43	386	3.31591e-64	214.289	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1053.peg.489	specific	395092	54	345	2.14417e-42	150.346	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1072.peg.297	specific	395092	54	345	4.9845e-43	152.272	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1091.peg.4288	specific	395092	54	345	4.02315e-42	149.961	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1109.peg.4365	specific	395092	54	345	2.14417e-42	150.346	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1112.peg.1298	specific	395092	54	345	2.14417e-42	150.346	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1118.peg.2729	specific	395092	54	345	4.9845e-43	152.272	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1091.peg.1766	specific	395092	43	386	1.38007e-60	204.659	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1016.peg.113	specific	395092	43	386	3.31591e-64	214.289	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1002.peg.4491	specific	395092	43	386	1.33755e-60	204.659	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.7787.peg.5872|DY947_29085	specific	395092	43	385	7.05194e-62	208.126	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1186.peg.3063	specific	395092	43	385	7.05194e-62	208.126	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.999.peg.3423	specific	395092	43	384	1.38159e-63	212.363	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.990.peg.3177	specific	395092	43	384	1.33945e-62	210.052	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.885.peg.414	specific	395092	43	384	2.16182e-64	214.674	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.8500.peg.3393	specific	395092	43	384	5.10637e-64	213.519	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.7778.peg.2482|DY938_12325	specific	395092	43	384	7.68416e-64	213.133	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.2977.peg.2341	specific	395092	43	384	4.02023e-63	211.207	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1223.peg.3593	specific	395092	43	384	8.09745e-64	213.133	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1185.peg.4	specific	395092	43	384	2.64467e-63	211.593	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1048.peg.3302	specific	395092	43	384	5.10637e-64	213.519	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.984.peg.3197	specific	395092	43	382	1.4302e-62	209.667	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.930.peg.2528	specific	395092	43	382	5.34691e-63	210.822	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.913.peg.4226	specific	395092	43	382	9.49572e-64	212.748	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.883.peg.3621	specific	395092	43	382	2.54275e-62	209.281	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.8528.peg.951	specific	395092	43	382	4.15882e-63	211.207	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.7854.peg.4852|DZA22_24165	specific	395092	43	382	4.86323e-62	208.511	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.7820.peg.4274|DY993_21245	specific	395092	43	382	2.7564e-64	214.289	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.6492.peg.321|AM490_02325	specific	395092	43	382	4.15882e-63	211.207	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.5971.peg.1800|CSC46_1820	specific	395092	43	382	4.15882e-63	211.207	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.5701.peg.6023|CSB92_6084	specific	395092	43	382	3.06961e-63	211.593	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.2980.peg.1808	specific	395092	43	382	4.15882e-63	211.207	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.16518.peg.2724|JO408_26110	specific	395092	43	382	2.7564e-64	214.289	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1215.peg.4145	specific	395092	43	382	1.88967e-64	214.674	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1190.peg.111	specific	395092	43	382	5.57558e-63	210.822	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1175.peg.2625	specific	395092	43	382	5.57558e-63	210.822	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1088.peg.114	specific	395092	43	382	1.4302e-62	209.667	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1027.peg.4073	specific	395092	43	382	2.54275e-62	209.281	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.1004.peg.5811	specific	395092	43	382	4.15882e-63	211.207	pfam00144	Beta-lactamase	 - 	cl21491
fig|287.5689.peg.4627|CSB93_4746	specific	395092	43	363	5.64649e-62	208.126	pfam00144	Beta-lactamase	 - 	cl21491
fig|573.25927.peg.1809|E1A84_09010	specific	395092	40	350	3.55899e-54	185.014	pfam00144	Beta-lactamase	 - 	cl21491
fig|573.13627.peg.2238	specific	395092	40	350	3.55899e-54	185.014	pfam00144	Beta-lactamase	 - 	cl21491
fig|562.42857.peg.1215	specific	395092	40	350	3.55899e-54	185.014	pfam00144	Beta-lactamase	 - 	cl21491
fig|562.50290.peg.2787|ELU87_02700	specific	395092	43	414	1.76827e-70	225.46	pfam00144	Beta-lactamase	 - 	cl21491
fig|562.42728.peg.1420	specific	395092	43	414	1.99789e-72	230.853	pfam00144	Beta-lactamase	 - 	cl21491
fig|562.33281.peg.3235|CSC20_3150	specific	395092	43	414	1.76827e-70	225.46	pfam00144	Beta-lactamase	 - 	cl21491
fig|562.28805.peg.1619|CSC21_1646	specific	395092	43	414	3.41647e-72	230.082	pfam00144	Beta-lactamase	 - 	cl21491
fig|562.20499.peg.1126|AM408_06610	specific	395092	43	414	1.76827e-70	225.46	pfam00144	Beta-lactamase	 - 	cl21491
fig|562.16326.peg.718|AM448_03605	specific	395092	43	414	5.90488e-72	229.312	pfam00144	Beta-lactamase	 - 	cl21491
fig|1045010.62.peg.4008	specific	395092	43	414	6.18409e-71	227.001	pfam00144	Beta-lactamase	 - 	cl21491
fig|562.42748.peg.4241	specific	395092	43	414	1.00568e-70	226.23	pfam00144	Beta-lactamase	 - 	cl21491
fig|562.17721.peg.2719|AM384_13635	specific	395092	43	414	1.94944e-71	228.156	pfam00144	Beta-lactamase	 - 	cl21491
fig|61645.211.peg.2145	specific	395092	103	401	4.82589e-39	143.027	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.9104.peg.2521|FJV27_12405	specific	395092	44	388	1.50409e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.9090.peg.1580|FJV00_07840	specific	395092	44	388	4.40066e-51	174.999	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.9075.peg.2193|FJU72_10870	specific	395092	44	388	9.75491e-53	179.236	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.9065.peg.1270|FJU67_06320	specific	395092	44	388	9.75491e-53	179.236	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.9052.peg.2921|FJV06_14445	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8108.peg.2799	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8100.peg.2509	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8093.peg.2211	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8087.peg.1442	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8080.peg.1757	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8072.peg.2607	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8064.peg.752	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8056.peg.269	specific	395092	44	388	2.39353e-52	178.466	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8050.peg.463	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8044.peg.2112	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8038.peg.1455	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8032.peg.991	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8025.peg.2730	specific	395092	44	388	1.55251e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8018.peg.2373	specific	395092	44	388	3.28532e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8012.peg.1025	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.8006.peg.700	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7998.peg.1475	specific	395092	44	388	2.41894e-52	178.466	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7990.peg.950	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7982.peg.2599	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7969.peg.683	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7960.peg.1337	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7952.peg.976	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7944.peg.976	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7937.peg.2271	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7929.peg.2464	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7923.peg.972	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7914.peg.338	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7905.peg.2044	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7898.peg.1334	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7889.peg.1003	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7882.peg.396	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7870.peg.1629	specific	395092	44	388	2.29456e-52	178.466	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7863.peg.1921	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7846.peg.849	specific	395092	44	388	3.93103e-52	177.695	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7827.peg.1625	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7801.peg.1131	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7780.peg.580	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7771.peg.1803	specific	395092	49	388	1.28154e-51	176.54	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7765.peg.1001	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7754.peg.1973	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7741.peg.2110	specific	395092	44	388	8.32555e-53	179.621	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7730.peg.141	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7721.peg.2587	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7712.peg.1954	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7704.peg.2218	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7697.peg.815	specific	395092	44	388	2.66004e-52	178.08	pfam00144	Beta-lactamase	 - 	cl21491
fig|470.7690.peg.2603	specific	395092	44	388	1.42674e-52	178.851	pfam00144	Beta-lactamase	 - 	cl21491
