genome_id	Specie	A	A2	AHp	AHL	AKS	B1/B2	B3	BHp	Gly	Human	PqsE	VarG	AmpH	C	CHp	Est/PBP2	EstI	EstII	PKS	D	PBP2	('measurement_value', 'ampicillin')	('measurement_value', 'aztreonam')	('measurement_value', 'cefazolin')	('measurement_value', 'ceftazidime')	('measurement_value', 'imipenem')	('measurement_value', 'meropenem')
1045010.64	Escherichia coli	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	32.0	0.0	0.0	0.0	0.0	0.0
158836.152	Enterobacter sp.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	64.0	0.0	16.0
158836.156	Enterobacter sp.	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	32.0	64.0	8.0	16.0	8.0	4.0
1812934.11	Enterobacter sp.	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	32.0	64.0	8.0	128.0	4.0	8.0
1812935.188	Enterobacter sp.	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.5
2077136.3	Enterobacter sp.	1.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	32.0	64.0	8.0	32.0	32.0	8.0
2077137.3	Enterobacter sp.	1.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	32.0	16.0	32.0	1.0	32.0	16.0
208224.55	Enterobacter sp.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	32.0	64.0	8.0	128.0	0.5	0.25
287.1185	Pseudomonas aeruginosa	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
287.14071	Pseudomonas aeruginosa	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	16.0	0.0	16.0	32.0	8.0
287.16518	Pseudomonas aeruginosa	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	16.0	0.0	16.0	64.0	8.0
287.16813	Pseudomonas aeruginosa	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	16.0	0.0	16.0	64.0	8.0
287.17435	Pseudomonas aeruginosa	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	16.0	0.0	16.0	64.0	8.0
287.2973	Pseudomonas aeruginosa	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	32.0	0.0	128.0	64.0	8.0
287.5687	Pseudomonas aeruginosa	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	3.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	128.0	32.0	8.0
287.5689	Pseudomonas aeruginosa	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	3.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0	64.0	0.0	64.0	64.0	8.0
287.5690	Pseudomonas aeruginosa	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	64.0	0.0	128.0	16.0	8.0
287.5746	Pseudomonas aeruginosa	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	1.0	1.0	0.0	0.0	1.0	3.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	64.0	0.0	128.0	32.0	8.0
287.6326	Pseudomonas aeruginosa	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	2.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	64.0	0.0	64.0	32.0	8.0
287.951	Pseudomonas aeruginosa	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	16.0
299767.74	Enterobacter sp.	1.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	32.0	64.0	8.0	64.0	64.0	8.0
470.1359	Acinetobacter baumannii	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	32.0	16.0	64.0	4.0	1.0	1.0
470.1548	Acinetobacter baumannii	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	32.0	0.0	64.0	4.0	0.25	0.5
470.1549	Acinetobacter baumannii	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	32.0	64.0	64.0	8.0	2.0	1.0
470.1550	Acinetobacter baumannii	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	32.0	16.0	64.0	4.0	2.0	1.0
470.1551	Acinetobacter baumannii	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	32.0	16.0	64.0	4.0	2.0	1.0
470.1552	Acinetobacter baumannii	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	32.0	16.0	64.0	4.0	1.0	1.0
