Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >LCR-1_class_D	non-specific	225322	4	258	2.13559e-68	211.841	COG2602	YbxI	 - 	cl43695
Q#1 - >LCR-1_class_D	superfamily	225322	4	258	2.13559e-68	211.841	cl43695	YbxI superfamily	 - 	 - 
Q#1 - >LCR-1_class_D	specific	425939	35	252	3.47865e-46	156.037	pfam00905	Transpeptidase	 - 	cl21491
Q#1 - >LCR-1_class_D	superfamily	451269	35	252	3.47865e-46	156.037	cl21491	Transpeptidase superfamily	 - 	 - 
Q#1 - >LCR-1_class_D	non-specific	274573	51	140	7.59013e-06	46.7473	TIGR03423	pbp2_mrdA	NC	cl37268
Q#1 - >LCR-1_class_D	superfamily	274573	51	140	7.59013e-06	46.7473	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#1 - >LCR-1_class_D	non-specific	224938	1	76	0.00282993	38.551	COG2027	DacB	C	cl28587
Q#1 - >LCR-1_class_D	superfamily	224938	1	76	0.00282993	38.551	cl28587	DacB superfamily	C	 - 
Q#2 - >NPS-1_class_D	non-specific	225322	4	256	7.44303e-69	212.996	COG2602	YbxI	 - 	cl43695
Q#2 - >NPS-1_class_D	superfamily	225322	4	256	7.44303e-69	212.996	cl43695	YbxI superfamily	 - 	 - 
Q#2 - >NPS-1_class_D	specific	425939	35	252	1.90843e-45	154.111	pfam00905	Transpeptidase	 - 	cl21491
Q#2 - >NPS-1_class_D	superfamily	451269	35	252	1.90843e-45	154.111	cl21491	Transpeptidase superfamily	 - 	 - 
Q#2 - >NPS-1_class_D	non-specific	274573	51	140	9.09562e-06	46.3621	TIGR03423	pbp2_mrdA	NC	cl37268
Q#2 - >NPS-1_class_D	superfamily	274573	51	140	9.09562e-06	46.3621	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#2 - >NPS-1_class_D	non-specific	224938	1	76	0.00791064	37.3954	COG2027	DacB	C	cl28587
Q#2 - >NPS-1_class_D	superfamily	224938	1	76	0.00791064	37.3954	cl28587	DacB superfamily	C	 - 
Q#3 - >OXA-1_class_D	non-specific	225322	29	265	3.1533e-59	188.729	COG2602	YbxI	 - 	cl43695
Q#3 - >OXA-1_class_D	superfamily	225322	29	265	3.1533e-59	188.729	cl43695	YbxI superfamily	 - 	 - 
Q#3 - >OXA-1_class_D	specific	425939	42	255	7.02402e-44	150.644	pfam00905	Transpeptidase	 - 	cl21491
Q#3 - >OXA-1_class_D	superfamily	451269	42	255	7.02402e-44	150.644	cl21491	Transpeptidase superfamily	 - 	 - 
Q#4 - >OXA-2_class_D	non-specific	225322	39	265	1.23655e-94	278.865	COG2602	YbxI	 - 	cl43695
Q#4 - >OXA-2_class_D	superfamily	225322	39	265	1.23655e-94	278.865	cl43695	YbxI superfamily	 - 	 - 
Q#4 - >OXA-2_class_D	specific	425939	42	257	1.20419e-51	170.675	pfam00905	Transpeptidase	 - 	cl21491
Q#4 - >OXA-2_class_D	superfamily	451269	42	257	1.20419e-51	170.675	cl21491	Transpeptidase superfamily	 - 	 - 
Q#4 - >OXA-2_class_D	non-specific	274573	68	147	4.35793e-05	44.4361	TIGR03423	pbp2_mrdA	NC	cl37268
Q#4 - >OXA-2_class_D	superfamily	274573	68	147	4.35793e-05	44.4361	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#5 - >OXA-3_class_D	non-specific	225322	39	265	7.32268e-95	279.636	COG2602	YbxI	 - 	cl43695
Q#5 - >OXA-3_class_D	superfamily	225322	39	265	7.32268e-95	279.636	cl43695	YbxI superfamily	 - 	 - 
Q#5 - >OXA-3_class_D	specific	425939	42	257	1.66209e-51	170.29	pfam00905	Transpeptidase	 - 	cl21491
Q#5 - >OXA-3_class_D	superfamily	451269	42	257	1.66209e-51	170.29	cl21491	Transpeptidase superfamily	 - 	 - 
Q#5 - >OXA-3_class_D	non-specific	274573	68	147	0.00822612	37.5025	TIGR03423	pbp2_mrdA	NC	cl37268
Q#5 - >OXA-3_class_D	superfamily	274573	68	147	0.00822612	37.5025	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#6 - >OXA-4_class_D	non-specific	225322	29	265	1.25685e-59	189.884	COG2602	YbxI	 - 	cl43695
Q#6 - >OXA-4_class_D	superfamily	225322	29	265	1.25685e-59	189.884	cl43695	YbxI superfamily	 - 	 - 
Q#6 - >OXA-4_class_D	specific	425939	42	255	8.98234e-43	147.563	pfam00905	Transpeptidase	 - 	cl21491
Q#6 - >OXA-4_class_D	superfamily	451269	42	255	8.98234e-43	147.563	cl21491	Transpeptidase superfamily	 - 	 - 
Q#7 - >OXA-5_class_D	non-specific	225322	21	264	3.15764e-71	219.159	COG2602	YbxI	 - 	cl43695
Q#7 - >OXA-5_class_D	superfamily	225322	21	264	3.15764e-71	219.159	cl43695	YbxI superfamily	 - 	 - 
Q#7 - >OXA-5_class_D	non-specific	425939	59	259	3.80642e-28	109.043	pfam00905	Transpeptidase	 - 	cl21491
Q#7 - >OXA-5_class_D	superfamily	451269	59	259	3.80642e-28	109.043	cl21491	Transpeptidase superfamily	 - 	 - 
Q#7 - >OXA-5_class_D	non-specific	274573	62	151	5.6338e-06	47.1325	TIGR03423	pbp2_mrdA	NC	cl37268
Q#7 - >OXA-5_class_D	superfamily	274573	62	151	5.6338e-06	47.1325	cl37268	pbp2_mrdA superfamily	NC	 - 
Q#7 - >OXA-5_class_D	non-specific	236761	62	151	0.00307018	38.5962	PRK10795	PRK10795	NC	cl35950
Q#7 - >OXA-5_class_D	superfamily	236761	62	151	0.00307018	38.5962	cl35950	PRK10795 superfamily	NC	 - 
Q#8 - >OXA-7_class_D	non-specific	225322	13	264	1.16383e-68	212.611	COG2602	YbxI	 - 	cl43695
Q#8 - >OXA-7_class_D	superfamily	225322	13	264	1.16383e-68	212.611	cl43695	YbxI superfamily	 - 	 - 
Q#8 - >OXA-7_class_D	non-specific	425939	60	240	6.71205e-30	113.665	pfam00905	Transpeptidase	 - 	cl21491
Q#8 - >OXA-7_class_D	superfamily	451269	60	240	6.71205e-30	113.665	cl21491	Transpeptidase superfamily	 - 	 - 
Q#8 - >OXA-7_class_D	non-specific	274573	64	152	3.04323e-06	47.9029	TIGR03423	pbp2_mrdA	NC	cl37268
Q#8 - >OXA-7_class_D	superfamily	274573	64	152	3.04323e-06	47.9029	cl37268	pbp2_mrdA superfamily	NC	 - 
