Query	Hit_type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
fig|287.1007.peg.655	specific	425851	14	195	8.859329999999999e-31	111.692	pfam00753	Lactamase_B	 - 	cl23716
fig|287.1050.peg.2166	specific	425851	14	195	8.859329999999999e-31	111.692	pfam00753	Lactamase_B	 - 	cl23716
fig|287.1108.peg.2891	specific	425851	14	195	8.859329999999999e-31	111.692	pfam00753	Lactamase_B	 - 	cl23716
fig|287.1170.peg.3500	specific	425851	14	195	8.859329999999999e-31	111.692	pfam00753	Lactamase_B	 - 	cl23716
fig|287.1197.peg.4700	specific	425851	14	195	8.859329999999999e-31	111.692	pfam00753	Lactamase_B	 - 	cl23716
fig|287.1240.peg.1261	specific	425851	14	195	8.859329999999999e-31	111.692	pfam00753	Lactamase_B	 - 	cl23716
fig|287.2976.peg.2742	specific	425851	14	195	8.859329999999999e-31	111.692	pfam00753	Lactamase_B	 - 	cl23716
fig|287.5704.peg.2227|CSB88_2208	specific	425851	14	195	8.859329999999999e-31	111.692	pfam00753	Lactamase_B	 - 	cl23716
fig|287.5973.peg.1328|CSC44_1334	specific	425851	14	195	8.859329999999999e-31	111.692	pfam00753	Lactamase_B	 - 	cl23716
fig|287.863.peg.981	specific	425851	14	195	8.859329999999999e-31	111.692	pfam00753	Lactamase_B	 - 	cl23716
fig|287.888.peg.2479	specific	425851	20	198	3.29714e-22	89.3501	pfam00753	Lactamase_B	 - 	cl23716
fig|287.922.peg.4499	specific	425851	14	195	8.859329999999999e-31	111.692	pfam00753	Lactamase_B	 - 	cl23716
fig|287.978.peg.1524	specific	425851	14	195	8.859329999999999e-31	111.692	pfam00753	Lactamase_B	 - 	cl23716
fig|287.1020.peg.49	specific	425851	15	196	9.42236e-31	111.692	pfam00753	Lactamase_B	 - 	cl23716
fig|287.7787.peg.3752|DY947_18655	specific	425851	15	196	5.33978e-31	112.462	pfam00753	Lactamase_B	 - 	cl23716
fig|470.1549.peg.516|AQ975_02595	specific	425851	9	193	1.08083e-31	114.003	pfam00753	Lactamase_B	 - 	cl23716
fig|470.2843.peg.3525	specific	425851	9	193	6.12135e-32	114.773	pfam00753	Lactamase_B	 - 	cl23716
fig|470.4881.peg.2846|C7R87_2856	specific	425851	9	193	6.12135e-32	114.773	pfam00753	Lactamase_B	 - 	cl23716
fig|470.7349.peg.1417	specific	425851	9	193	6.12135e-32	114.773	pfam00753	Lactamase_B	 - 	cl23716
fig|470.7365.peg.164	specific	425851	9	193	6.12135e-32	114.773	pfam00753	Lactamase_B	 - 	cl23716
fig|470.7388.peg.1680	specific	425851	9	193	6.12135e-32	114.773	pfam00753	Lactamase_B	 - 	cl23716
fig|470.7423.peg.1295	specific	425851	9	193	4.0716800000000003e-32	115.158	pfam00753	Lactamase_B	 - 	cl23716
fig|470.7442.peg.1400	specific	425851	9	193	4.4845100000000004e-32	115.158	pfam00753	Lactamase_B	 - 	cl23716
fig|470.7461.peg.2259	specific	425851	9	193	1.08083e-31	114.003	pfam00753	Lactamase_B	 - 	cl23716
fig|470.7479.peg.1440	specific	425851	9	193	6.12135e-32	114.773	pfam00753	Lactamase_B	 - 	cl23716
fig|470.7531.peg.629	specific	425851	9	193	6.12135e-32	114.773	pfam00753	Lactamase_B	 - 	cl23716
fig|470.7543.peg.832	specific	425851	9	193	6.12135e-32	114.773	pfam00753	Lactamase_B	 - 	cl23716
fig|470.7558.peg.3002	specific	425851	9	193	1.08083e-31	114.003	pfam00753	Lactamase_B	 - 	cl23716
fig|470.7573.peg.2410	specific	425851	9	193	2.30539e-32	115.929	pfam00753	Lactamase_B	 - 	cl23716
fig|470.7590.peg.801	specific	425851	9	193	4.4845100000000004e-32	115.158	pfam00753	Lactamase_B	 - 	cl23716
