Query	Hit_type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
fig|573.13719.peg.739	specific	433139	83	287	6.39056e-36	128.53	pfam13354	Beta-lactamase2	 - 	cl21491
fig|470.7957.peg.3891	specific	433139	54	271	5.33046e-32	117.744	pfam13354	Beta-lactamase2	 - 	cl21491
fig|470.7679.peg.4086	specific	433139	54	271	5.33046e-32	117.744	pfam13354	Beta-lactamase2	 - 	cl21491
fig|470.1550.peg.3531|AQ976_17520	specific	433139	65	272	2.65945e-36	128.915	pfam13354	Beta-lactamase2	 - 	cl21491
fig|287.5746.peg.3545|CSC30_3582	specific	433139	56	266	9.16289e-31	114.277	pfam13354	Beta-lactamase2	 - 	cl21491
fig|470.7998.peg.3757	specific	433139	54	263	2.01255e-34	123.907	pfam13354	Beta-lactamase2	 - 	cl21491
fig|470.7598.peg.3522	specific	433139	54	263	2.01255e-34	123.907	pfam13354	Beta-lactamase2	 - 	cl21491
fig|72407.1439.peg.5424|KpUFPRA2_05240	specific	433139	52	261	2.34269e-38	133.923	pfam13354	Beta-lactamase2	 - 	cl21491
fig|573.9721.peg.5910|AM364_30245	specific	433139	52	261	2.57917e-38	133.923	pfam13354	Beta-lactamase2	 - 	cl21491
fig|573.7028.peg.6570	specific	433139	52	261	2.57917e-38	133.923	pfam13354	Beta-lactamase2	 - 	cl21491
fig|573.24397.peg.5167	specific	433139	52	261	2.34269e-38	133.923	pfam13354	Beta-lactamase2	 - 	cl21491
fig|573.20063.peg.5730|AM476_01595	specific	433139	52	261	2.57917e-38	133.923	pfam13354	Beta-lactamase2	 - 	cl21491
fig|573.18087.peg.5763|CSC25_5634	specific	433139	52	261	2.57917e-38	133.923	pfam13354	Beta-lactamase2	 - 	cl21491
fig|573.15217.peg.5914|AM359_02190	specific	433139	52	261	2.57917e-38	133.923	pfam13354	Beta-lactamase2	 - 	cl21491
fig|573.14521.peg.4361	specific	433139	52	261	2.34269e-38	133.923	pfam13354	Beta-lactamase2	 - 	cl21491
fig|573.14500.peg.4454	specific	433139	52	261	2.34269e-38	133.923	pfam13354	Beta-lactamase2	 - 	cl21491
fig|573.14446.peg.4645	specific	433139	52	261	2.34269e-38	133.923	pfam13354	Beta-lactamase2	 - 	cl21491
fig|573.14428.peg.4642	specific	433139	52	261	2.34269e-38	133.923	pfam13354	Beta-lactamase2	 - 	cl21491
fig|573.14406.peg.4871	specific	433139	52	261	2.34269e-38	133.923	pfam13354	Beta-lactamase2	 - 	cl21491
fig|573.14320.peg.5229	specific	433139	52	261	2.34269e-38	133.923	pfam13354	Beta-lactamase2	 - 	cl21491
fig|573.14236.peg.3281	specific	433139	52	261	2.57917e-38	133.923	pfam13354	Beta-lactamase2	 - 	cl21491
