Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >ACC-1_class_C	specific	236894	1	383	0	566.828	PRK11289	ampC	 - 	cl21491
Q#1 - >ACC-1_class_C	superfamily	451269	1	383	0	566.828	cl21491	Transpeptidase superfamily	 - 	 - 
Q#1 - >ACC-1_class_C	specific	395092	35	383	3.47026e-85	261.669	pfam00144	Beta-lactamase	 - 	cl21491
Q#1 - >ACC-1_class_C	specific	224594	5	380	8.15475e-57	190.592	COG1680	AmpC	 - 	cl43486
Q#1 - >ACC-1_class_C	superfamily	224594	5	380	8.15475e-57	190.592	cl43486	AmpC superfamily	 - 	 - 
Q#1 - >ACC-1_class_C	non-specific	236732	6	386	3.1487e-19	88.1659	PRK10662	PRK10662	 - 	cl21491
Q#1 - >ACC-1_class_C	non-specific	179620	64	209	7.42934e-09	57.1074	PRK03642	PRK03642	C	cl21491
Q#1 - >ACC-1_class_C	non-specific	171868	33	258	1.06016e-05	47.1583	PRK13128	PRK13128	C	cl31632
Q#1 - >ACC-1_class_C	superfamily	171868	33	258	1.06016e-05	47.1583	cl31632	PRK13128 superfamily	C	 - 
Q#2 - >ACC-2_class_C	specific	236894	31	387	0	550.65	PRK11289	ampC	 - 	cl21491
Q#2 - >ACC-2_class_C	superfamily	451269	31	387	0	550.65	cl21491	Transpeptidase superfamily	 - 	 - 
Q#2 - >ACC-2_class_C	specific	395092	39	387	1.28393e-82	255.505	pfam00144	Beta-lactamase	 - 	cl21491
Q#2 - >ACC-2_class_C	specific	224594	1	384	2.02511e-55	187.125	COG1680	AmpC	 - 	cl43486
Q#2 - >ACC-2_class_C	superfamily	224594	1	384	2.02511e-55	187.125	cl43486	AmpC superfamily	 - 	 - 
Q#2 - >ACC-2_class_C	non-specific	236732	1	368	3.61455e-18	85.0843	PRK10662	PRK10662	 - 	cl21491
Q#2 - >ACC-2_class_C	non-specific	179620	68	213	2.91278e-07	52.0998	PRK03642	PRK03642	C	cl21491
Q#2 - >ACC-2_class_C	non-specific	171868	37	262	7.48836e-05	44.4619	PRK13128	PRK13128	C	cl31632
Q#2 - >ACC-2_class_C	superfamily	171868	37	262	7.48836e-05	44.4619	cl31632	PRK13128 superfamily	C	 - 
Q#3 - >ACC-3_class_C	specific	236894	6	377	0	553.346	PRK11289	ampC	 - 	cl21491
Q#3 - >ACC-3_class_C	superfamily	451269	6	377	0	553.346	cl21491	Transpeptidase superfamily	 - 	 - 
Q#3 - >ACC-3_class_C	specific	395092	39	376	5.3831e-81	250.883	pfam00144	Beta-lactamase	 - 	cl21491
Q#3 - >ACC-3_class_C	specific	224594	1	376	1.58154e-56	189.436	COG1680	AmpC	 - 	cl43486
Q#3 - >ACC-3_class_C	superfamily	224594	1	376	1.58154e-56	189.436	cl43486	AmpC superfamily	 - 	 - 
Q#3 - >ACC-3_class_C	non-specific	236732	1	368	4.93524e-17	81.6175	PRK10662	PRK10662	 - 	cl21491
Q#3 - >ACC-3_class_C	non-specific	179620	68	216	3.02929e-11	64.4262	PRK03642	PRK03642	C	cl21491
Q#3 - >ACC-3_class_C	non-specific	171868	37	225	0.000153984	43.6915	PRK13128	PRK13128	C	cl31632
Q#3 - >ACC-3_class_C	superfamily	171868	37	225	0.000153984	43.6915	cl31632	PRK13128 superfamily	C	 - 
Q#4 - >ACC-4_class_C	specific	236894	1	383	0	563.747	PRK11289	ampC	 - 	cl21491
Q#4 - >ACC-4_class_C	superfamily	451269	1	383	0	563.747	cl21491	Transpeptidase superfamily	 - 	 - 
Q#4 - >ACC-4_class_C	specific	395092	35	383	9.08931e-85	260.898	pfam00144	Beta-lactamase	 - 	cl21491
Q#4 - >ACC-4_class_C	specific	224594	5	380	1.24605e-56	190.206	COG1680	AmpC	 - 	cl43486
Q#4 - >ACC-4_class_C	superfamily	224594	5	380	1.24605e-56	190.206	cl43486	AmpC superfamily	 - 	 - 
Q#4 - >ACC-4_class_C	non-specific	236732	6	386	3.77034e-19	87.7807	PRK10662	PRK10662	 - 	cl21491
Q#4 - >ACC-4_class_C	non-specific	179620	64	209	7.29828e-09	57.1074	PRK03642	PRK03642	C	cl21491
Q#4 - >ACC-4_class_C	non-specific	171868	33	258	4.89652e-06	48.3139	PRK13128	PRK13128	C	cl31632
Q#4 - >ACC-4_class_C	superfamily	171868	33	258	4.89652e-06	48.3139	cl31632	PRK13128 superfamily	C	 - 
Q#5 - >ACT-1_class_C	specific	236894	1	381	0	638.86	PRK11289	ampC	 - 	cl21491
Q#5 - >ACT-1_class_C	superfamily	451269	1	381	0	638.86	cl21491	Transpeptidase superfamily	 - 	 - 
Q#5 - >ACT-1_class_C	specific	395092	33	381	1.04058e-98	296.337	pfam00144	Beta-lactamase	 - 	cl21491
Q#5 - >ACT-1_class_C	specific	224594	1	380	1.05694e-59	197.91	COG1680	AmpC	 - 	cl43486
Q#5 - >ACT-1_class_C	superfamily	224594	1	380	1.05694e-59	197.91	cl43486	AmpC superfamily	 - 	 - 
Q#5 - >ACT-1_class_C	non-specific	236732	3	364	1.7059e-24	103.189	PRK10662	PRK10662	 - 	cl21491
Q#5 - >ACT-1_class_C	non-specific	171868	47	254	2.22097e-09	58.7143	PRK13128	PRK13128	C	cl31632
Q#5 - >ACT-1_class_C	superfamily	171868	47	254	2.22097e-09	58.7143	cl31632	PRK13128 superfamily	C	 - 
Q#5 - >ACT-1_class_C	non-specific	179620	1	363	6.22808e-07	50.9442	PRK03642	PRK03642	 - 	cl21491
Q#6 - >ACT-2_class_C	specific	236894	1	381	0	638.86	PRK11289	ampC	 - 	cl21491
Q#6 - >ACT-2_class_C	superfamily	451269	1	381	0	638.86	cl21491	Transpeptidase superfamily	 - 	 - 
Q#6 - >ACT-2_class_C	specific	395092	33	381	2.56282e-98	295.181	pfam00144	Beta-lactamase	 - 	cl21491
Q#6 - >ACT-2_class_C	specific	224594	1	380	1.11466e-59	197.91	COG1680	AmpC	 - 	cl43486
Q#6 - >ACT-2_class_C	superfamily	224594	1	380	1.11466e-59	197.91	cl43486	AmpC superfamily	 - 	 - 
Q#6 - >ACT-2_class_C	non-specific	236732	3	364	4.11965e-24	102.033	PRK10662	PRK10662	 - 	cl21491
Q#6 - >ACT-2_class_C	non-specific	171868	47	254	4.55652e-09	57.9439	PRK13128	PRK13128	C	cl31632
Q#6 - >ACT-2_class_C	superfamily	171868	47	254	4.55652e-09	57.9439	cl31632	PRK13128 superfamily	C	 - 
Q#6 - >ACT-2_class_C	non-specific	179620	1	363	7.43436e-07	50.559	PRK03642	PRK03642	 - 	cl21491
Q#7 - >ACT-3_class_C	specific	236894	1	380	0	636.934	PRK11289	ampC	 - 	cl21491
Q#7 - >ACT-3_class_C	superfamily	451269	1	380	0	636.934	cl21491	Transpeptidase superfamily	 - 	 - 
Q#7 - >ACT-3_class_C	specific	395092	32	380	1.30547e-99	298.648	pfam00144	Beta-lactamase	 - 	cl21491
Q#7 - >ACT-3_class_C	specific	224594	2	379	3.15434e-60	199.451	COG1680	AmpC	 - 	cl43486
Q#7 - >ACT-3_class_C	superfamily	224594	2	379	3.15434e-60	199.451	cl43486	AmpC superfamily	 - 	 - 
Q#7 - >ACT-3_class_C	non-specific	236732	2	363	4.64142e-25	104.729	PRK10662	PRK10662	 - 	cl21491
Q#7 - >ACT-3_class_C	non-specific	171868	46	253	1.1085e-08	56.7883	PRK13128	PRK13128	C	cl31632
Q#7 - >ACT-3_class_C	superfamily	171868	46	253	1.1085e-08	56.7883	cl31632	PRK13128 superfamily	C	 - 
Q#7 - >ACT-3_class_C	non-specific	179620	2	210	9.56089e-07	50.559	PRK03642	PRK03642	C	cl21491
Q#8 - >ACT-4_class_C	specific	236894	1	381	0	637.32	PRK11289	ampC	 - 	cl21491
Q#8 - >ACT-4_class_C	superfamily	451269	1	381	0	637.32	cl21491	Transpeptidase superfamily	 - 	 - 
Q#8 - >ACT-4_class_C	specific	395092	32	381	5.66383e-100	299.418	pfam00144	Beta-lactamase	 - 	cl21491
Q#8 - >ACT-4_class_C	specific	224594	2	379	2.38402e-60	199.836	COG1680	AmpC	 - 	cl43486
Q#8 - >ACT-4_class_C	superfamily	224594	2	379	2.38402e-60	199.836	cl43486	AmpC superfamily	 - 	 - 
Q#8 - >ACT-4_class_C	non-specific	236732	2	363	4.71204e-25	104.729	PRK10662	PRK10662	 - 	cl21491
Q#8 - >ACT-4_class_C	non-specific	171868	46	253	1.07637e-08	56.7883	PRK13128	PRK13128	C	cl31632
Q#8 - >ACT-4_class_C	superfamily	171868	46	253	1.07637e-08	56.7883	cl31632	PRK13128 superfamily	C	 - 
Q#8 - >ACT-4_class_C	non-specific	179620	2	210	9.60955e-07	50.559	PRK03642	PRK03642	C	cl21491
Q#9 - >ACT-5_class_C	specific	236894	1	381	0	625.378	PRK11289	ampC	 - 	cl21491
