Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >AIM-1_class_B	specific	293872	37	294	3.51973e-163	453.964	cd16314	AIM-1-like_MBL-B3	 - 	cl23716
Q#1 - >AIM-1_class_B	superfamily	451500	37	294	3.51973e-163	453.964	cl23716	metallo-hydrolase-like_MBL-fold superfamily	 - 	 - 
Q#1 - >AIM-1_class_B	non-specific	293848	37	289	6.72114e-145	407.504	cd16290	AIM-1_SMB-1-like_MBL-B3	 - 	cl23716
Q#1 - >AIM-1_class_B	non-specific	293873	37	289	7.86919e-122	348.955	cd16315	EVM-1-like_MBL-B3	 - 	cl23716
Q#1 - >AIM-1_class_B	non-specific	293871	37	290	1.27254e-106	310.641	cd16313	SMB-1-like_MBL-B3	 - 	cl23716
Q#1 - >AIM-1_class_B	non-specific	293870	37	290	9.9866e-96	283.032	cd16312	THIN-B-like_MBL-B3	 - 	cl23716
Q#1 - >AIM-1_class_B	non-specific	293869	37	290	2.96526e-94	279.565	cd16311	THIN-B2-like_MBL-B3	 - 	cl23716
Q#1 - >AIM-1_class_B	non-specific	293794	37	283	1.12333e-80	244.377	cd07708	MBL-B3-like	 - 	cl23716
Q#1 - >AIM-1_class_B	non-specific	293846	37	290	1.83445e-68	213.337	cd16288	BJP-1_FEZ-1-like_MBL-B3	 - 	cl23716
Q#1 - >AIM-1_class_B	non-specific	293847	37	283	4.6611e-60	191.568	cd16289	L1_POM-1-like_MBL-B3	 - 	cl23716
Q#1 - >AIM-1_class_B	non-specific	293867	37	290	5.15109e-55	178.832	cd16309	BJP-1-like_MBL-B3	 - 	cl23716
Q#1 - >AIM-1_class_B	non-specific	293868	37	290	5.15992e-55	178.798	cd16310	Mbl1b-like_MBL-B3	 - 	cl23716
Q#1 - >AIM-1_class_B	non-specific	293865	37	290	5.23995e-38	134.881	cd16307	FEZ-1-like_MBL-B3	 - 	cl23716
Q#1 - >AIM-1_class_B	non-specific	293866	37	290	1.42044e-37	133.749	cd16308	GOB1-like_MBL-B3	 - 	cl23716
Q#1 - >AIM-1_class_B	non-specific	293838	37	290	5.63968e-36	129.627	cd16280	metallo-hydrolase-like_MBL-fold	 - 	cl23716
Q#1 - >AIM-1_class_B	non-specific	293807	57	250	1.26131e-34	124.641	cd07721	yflN-like_MBL-fold	 - 	cl23716
Q#1 - >AIM-1_class_B	specific	214854	59	250	1.84058e-28	107.639	smart00849	Lactamase_B	 - 	cl23716
Q#1 - >AIM-1_class_B	non-specific	293792	62	188	2.02483e-24	97.3565	cd06262	metallo-hydrolase-like_MBL-fold	C	cl23716
