Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >ACI-1_class_A	non-specific	185339	6	281	1.85499e-58	188.138	PRK15442	PRK15442	 - 	cl21491
Q#1 - >ACI-1_class_A	superfamily	451269	6	281	1.85499e-58	188.138	cl21491	Transpeptidase superfamily	 - 	 - 
Q#1 - >ACI-1_class_A	non-specific	225242	29	265	3.89393e-47	160.293	COG2367	PenP	 - 	cl28588
Q#1 - >ACI-1_class_A	superfamily	225242	29	265	3.89393e-47	160.293	cl28588	PenP superfamily	 - 	 - 
Q#1 - >ACI-1_class_A	specific	433139	48	255	1.3506e-36	129.3	pfam13354	Beta-lactamase2	 - 	cl21491
Q#1 - >ACI-1_class_A	non-specific	395092	39	276	2.17141e-12	65.9872	pfam00144	Beta-lactamase	 - 	cl21491
Q#2 - >AER-1_class_A	non-specific	185339	19	298	4.7128e-96	284.823	PRK15442	PRK15442	 - 	cl21491
Q#2 - >AER-1_class_A	superfamily	451269	19	298	4.7128e-96	284.823	cl21491	Transpeptidase superfamily	 - 	 - 
Q#2 - >AER-1_class_A	non-specific	225242	56	287	4.77132e-44	152.975	COG2367	PenP	 - 	cl28588
Q#2 - >AER-1_class_A	superfamily	225242	56	287	4.77132e-44	152.975	cl28588	PenP superfamily	 - 	 - 
Q#2 - >AER-1_class_A	specific	433139	66	275	1.07582e-40	140.471	pfam13354	Beta-lactamase2	 - 	cl21491
Q#2 - >AER-1_class_A	non-specific	395092	53	281	2.68011e-15	74.8468	pfam00144	Beta-lactamase	 - 	cl21491
Q#3 - >AST-1_class_A	non-specific	185339	59	289	4.78775e-81	247.074	PRK15442	PRK15442	 - 	cl21491
Q#3 - >AST-1_class_A	superfamily	451269	59	289	4.78775e-81	247.074	cl21491	Transpeptidase superfamily	 - 	 - 
Q#3 - >AST-1_class_A	non-specific	225242	46	305	1.44526e-53	178.013	COG2367	PenP	 - 	cl28588
Q#3 - >AST-1_class_A	superfamily	225242	46	305	1.44526e-53	178.013	cl28588	PenP superfamily	 - 	 - 
Q#3 - >AST-1_class_A	specific	433139	74	282	1.45888e-38	135.078	pfam13354	Beta-lactamase2	 - 	cl21491
Q#3 - >AST-1_class_A	non-specific	395092	62	301	9.75181e-15	73.306	pfam00144	Beta-lactamase	 - 	cl21491
Q#4 - >BEL-1_class_A	non-specific	185339	14	273	1.33993e-68	214.332	PRK15442	PRK15442	 - 	cl21491
Q#4 - >BEL-1_class_A	superfamily	451269	14	273	1.33993e-68	214.332	cl21491	Transpeptidase superfamily	 - 	 - 
Q#4 - >BEL-1_class_A	non-specific	225242	18	280	1.00708e-47	161.834	COG2367	PenP	 - 	cl28588
Q#4 - >BEL-1_class_A	superfamily	225242	18	280	1.00708e-47	161.834	cl28588	PenP superfamily	 - 	 - 
Q#4 - >BEL-1_class_A	specific	433139	44	254	9.57703e-35	124.293	pfam13354	Beta-lactamase2	 - 	cl21491
Q#4 - >BEL-1_class_A	non-specific	395092	50	275	7.89755e-11	61.3648	pfam00144	Beta-lactamase	 - 	cl21491
Q#4 - >BEL-1_class_A	non-specific	224600	44	259	0.000675757	40.8175	COG1686	DacC	C	cl34335
Q#4 - >BEL-1_class_A	superfamily	224600	44	259	0.000675757	40.8175	cl34335	DacC superfamily	C	 - 
Q#5 - >BEL-2_class_A	non-specific	185339	14	273	4.31876e-68	212.791	PRK15442	PRK15442	 - 	cl21491
Q#5 - >BEL-2_class_A	superfamily	451269	14	273	4.31876e-68	212.791	cl21491	Transpeptidase superfamily	 - 	 - 
Q#5 - >BEL-2_class_A	non-specific	225242	18	280	6.71816e-47	159.523	COG2367	PenP	 - 	cl28588
Q#5 - >BEL-2_class_A	superfamily	225242	18	280	6.71816e-47	159.523	cl28588	PenP superfamily	 - 	 - 
