Query	Hit_type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
fig|573.14272.peg.1169	specific	425939	272	600	1.14223e-72	241.166	pfam00905	Transpeptidase	 - 	cl21491
fig|470.9102.peg.1141|FJU55_05660	specific	425939	267	602	5.8004800000000005e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.9089.peg.1159|FJU99_05665	specific	425939	267	602	5.8619e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.9075.peg.1940|FJU72_09610	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.9063.peg.2671|FJU57_13220	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.9022.peg.2422|FJU61_11960	specific	425939	267	602	5.8004800000000005e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8103.peg.2055	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8097.peg.2309	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8087.peg.360	specific	425939	267	602	5.73969e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8082.peg.715	specific	425939	267	602	5.73969e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8075.peg.475	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8068.peg.2423	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8061.peg.2065	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8055.peg.1782	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8050.peg.1365	specific	425939	267	602	5.73969e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8045.peg.163	specific	425939	267	602	5.11167e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8040.peg.1429	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8035.peg.1222	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8029.peg.2374	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8023.peg.1728	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8018.peg.179	specific	425939	267	602	7.01149e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8013.peg.176	specific	425939	267	602	5.73969e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8008.peg.178	specific	425939	267	602	5.73969e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.8002.peg.2116	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7995.peg.730	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7989.peg.1072	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7982.peg.2288	specific	425939	267	602	5.73969e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7971.peg.1609	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7963.peg.1778	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7956.peg.3341	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7950.peg.3552	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7943.peg.3553	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7937.peg.1404	specific	425939	267	602	5.73969e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7930.peg.1424	specific	425939	267	602	3.49818e-74	240.781	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7925.peg.3554	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7918.peg.1546	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7912.peg.1649	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7904.peg.1587	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7898.peg.1581	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7890.peg.758	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7885.peg.1461	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7877.peg.432	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7868.peg.1734	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7861.peg.1526	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7846.peg.1551	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7830.peg.1172	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7812.peg.1407	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7789.peg.1798	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7776.peg.2067	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7770.peg.1053	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7765.peg.3341	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7756.peg.859	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7748.peg.2027	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7735.peg.1150	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7727.peg.1877	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7719.peg.756	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7712.peg.1280	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7705.peg.1454	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7699.peg.1551	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7693.peg.3347	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7688.peg.908	specific	425939	267	602	5.73969e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7682.peg.1456	specific	425939	267	602	5.73969e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7672.peg.428	specific	425939	267	602	5.73969e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7665.peg.1482	specific	425939	267	602	5.73969e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7659.peg.2097	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7652.peg.1547	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7645.peg.1472	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7637.peg.2114	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7623.peg.1040	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7617.peg.940	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7612.peg.1035	specific	425939	267	602	5.73969e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7604.peg.699	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7598.peg.1758	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7592.peg.1973	specific	425939	267	602	5.8004800000000005e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7585.peg.1987	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7576.peg.1605	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7569.peg.1492	specific	425939	267	602	5.73969e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7560.peg.3162	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7554.peg.1470	specific	425939	267	602	5.8619e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7548.peg.792	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7542.peg.1561	specific	425939	267	602	1.93892e-74	241.552	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7537.peg.1917	specific	425939	267	602	6.11418e-74	240.011	pfam00905	Transpeptidase	 - 	cl21491
fig|470.7531.peg.1485	specific	425939	267	602	5.2205100000000004e-74	240.396	pfam00905	Transpeptidase	 - 	cl21491
